code,name,description,refreshed_at,from_date,to_date
ASX_US4,"Australian Sorghum Futures, Continuous Contract #4 (US4)","Historical Futures Prices: Australian Sorghum Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:32,2013-10-09,2019-10-24
ASX_US5,"Australian Sorghum Futures, Continuous Contract #5 (US5)","Historical Futures Prices: Australian Sorghum Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:32,2013-10-09,2019-10-24
ASX_US6,"Australian Sorghum Futures, Continuous Contract #6 (US6)","Historical Futures Prices: Australian Sorghum Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:32,2013-10-09,2019-10-24
ASX_VC1,"Eastern Australia Canola Futures, Continuous Contract #1 (VC1) (Front Month)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2017-03-18 18:26:28,2013-10-09,2017-03-11
ASX_VC2,"Eastern Australia Canola Futures, Continuous Contract #2 (VC2)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2017-03-18 18:26:28,2013-10-09,2017-03-10
ASX_VC3,"Eastern Australia Canola Futures, Continuous Contract #3 (VC3)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2017-03-18 18:26:28,2013-10-09,2017-03-10
ASX_VC4,"Eastern Australia Canola Futures, Continuous Contract #4 (VC4)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2017-03-18 18:26:28,2013-10-09,2017-03-10
ASX_VC5,"Eastern Australia Canola Futures, Continuous Contract #5 (VC5)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2017-03-18 18:26:28,2013-10-09,2017-03-10
ASX_VC6,"Eastern Australia Canola Futures, Continuous Contract #6 (VC6)","Historical Futures Prices: Eastern Australia Canola Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:44,2014-12-24,2017-01-23
ASX_VW1,"NSW Wheat Futures, Continuous Contract #1 (VW1) (Front Month)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:39,2013-10-09,2017-01-19
ASX_VW2,"NSW Wheat Futures, Continuous Contract #2 (VW2)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:51,2013-10-09,2016-09-19
ASX_VW3,"NSW Wheat Futures, Continuous Contract #3 (VW3)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:50,2013-10-09,2016-07-25
ASX_VW4,"NSW Wheat Futures, Continuous Contract #4 (VW4)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:44,2013-10-09,2016-05-21
ASX_VW5,"NSW Wheat Futures, Continuous Contract #5 (VW5)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:28:48,2013-10-09,2016-03-19
ASX_VW6,"NSW Wheat Futures, Continuous Contract #6 (VW6)","Historical Futures Prices: NSW Wheat Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",2017-03-13 07:29:05,2014-12-24,2016-01-23
ASX_WK1,"WA Wheat Futures, Continuous Contract #1 (WK1) (Front Month)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
ASX_WK2,"WA Wheat Futures, Continuous Contract #2 (WK2)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
ASX_WK3,"WA Wheat Futures, Continuous Contract #3 (WK3)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
ASX_WK4,"WA Wheat Futures, Continuous Contract #4 (WK4)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
ASX_WK5,"WA Wheat Futures, Continuous Contract #5 (WK5)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
ASX_WK6,"WA Wheat Futures, Continuous Contract #6 (WK6)","Historical Futures Prices: WA Wheat Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-01-20 19:27:49,2014-12-24,2020-01-20
ASX_WM1,"Eastern Australian Wheat Futures, Continuous Contract #1 (WM1) (Front Month)","Historical Futures Prices: Eastern Australian Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2017-02-10,2020-02-20
ASX_WM2,"Eastern Australian Wheat Futures, Continuous Contract #2 (WM2)","Historical Futures Prices: Eastern Australian Wheat Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2017-02-10,2020-02-20
ASX_WM3,"Eastern Australian Wheat Futures, Continuous Contract #3 (WM3)","Historical Futures Prices: Eastern Australian Wheat Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2017-02-10,2020-02-20
ASX_WM4,"Eastern Australian Wheat Futures, Continuous Contract #4 (WM4)","Historical Futures Prices: Eastern Australian Wheat Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2017-02-10,2020-02-20
ASX_WM5,"Eastern Australian Wheat Futures, Continuous Contract #5 (WM5)","Historical Futures Prices: Eastern Australian Wheat Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2017-02-10,2020-02-20
